GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
microservice,com.telstra.codechallenge.quotes,SpringBootQuotesService,40,0,0,0,5,0,3,0,3,0
microservice,com.telstra.codechallenge.quotes,SpringBootQuotesController,15,0,0,0,5,0,3,0,3,0
microservice,com.telstra.codechallenge.git.controller,GitRepositoryController,55,0,8,0,8,0,8,0,4,0
microservice,com.telstra.codechallenge.helloworld,HelloWorldController,23,0,0,0,3,0,2,0,2,0
microservice,com.telstra.codechallenge.helloworld,HelloWorld,15,0,0,0,6,0,3,0,3,0
microservice,com.telstra.codechallenge.base.commons.interceptor,RequestResponseLoggingInterceptor,86,0,4,0,22,0,7,0,5,0
microservice,com.telstra.codechallenge.base.commons.interceptor,CustomRestTemplateCustomizer,11,0,0,0,3,0,2,0,2,0
microservice,com.telstra.codechallenge.base.commons.rest,ApiResponse,37,0,0,0,16,0,9,0,9,0
microservice,com.telstra.codechallenge.base.commons.rest,ApiResponseCodes,3,0,0,0,1,0,1,0,1,0
microservice,com.telstra.codechallenge.base.commons.exception,DataNotFoundException,4,0,0,0,2,0,1,0,1,0
microservice,com.telstra.codechallenge.base.commons.exception,CustomRestExceptionHandler,76,0,0,0,10,0,4,0,4,0
microservice,com.telstra.codechallenge.configuration,SwaggerConfig,35,0,0,0,9,0,3,0,3,0
microservice,com.telstra.codechallenge.configuration,CommonConfig,3,0,0,0,1,0,1,0,1,0
microservice,com.telstra.codechallenge.git.config,GitRepositoryConfig,18,0,0,0,3,0,3,0,3,0
microservice,com.telstra.codechallenge.git.service.impl,GitRepositoryServiceImpl,122,0,2,0,18,0,4,0,3,0
microservice,com.telstra.codechallenge.git.service.impl,GitRepositoryServiceImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
microservice,com.telstra.codechallenge,MicroServiceMain,12,0,0,0,4,0,3,0,3,0
microservice,com.telstra.codechallenge,SecurityConfiguration,14,0,0,0,4,0,2,0,2,0
microservice,com.telstra.codechallenge.git.model,GitRepositoryResponse,24,0,0,0,10,0,7,0,7,0
microservice,com.telstra.codechallenge.git.model,GitRepositoryModel,38,0,0,0,16,0,11,0,11,0
microservice,com.telstra.codechallenge.git.model,GitRepositoryRequest.GitRepositoryRequestBuilder,37,0,0,0,14,0,6,0,6,0
microservice,com.telstra.codechallenge.git.model,GitProperties,10,0,0,0,4,0,3,0,3,0
microservice,com.telstra.codechallenge.git.model,GitRepositoryRequest,69,0,0,0,26,0,13,0,13,0
